model_slug,probe_tier,status,score_mean,score_delta_vs_M01,score_delta_vs_P12,completion_binary,runtime_proxy,latency_field,cost_field,failure_reason_code,task_name,benchmark_slug,notebook_pin_sha,source_export,notes
claude-haiku-4-5-20251001,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-haiku-4-5-20251001,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-haiku-4-5-20251001,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-haiku-4-5-20251001,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
claude-opus-4-1-20250805,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-1-20250805,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-1-20250805,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-1-20250805,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
claude-opus-4-5-20251101,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-5-20251101,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
